step,train/loss,train/grad_norm,train/learning_rate,train/num_tokens,train/completions/mean_length,train/completions/min_length,train/completions/max_length,train/completions/clipped_ratio,train/completions/mean_terminated_length,train/completions/min_terminated_length,train/completions/max_terminated_length,train/rewards/reward_fn/mean,train/rewards/reward_fn/std,train/reward,train/reward_std,train/frac_reward_zero_std,train/entropy,train/clip_ratio/low_mean,train/clip_ratio/low_min,train/clip_ratio/high_mean,train/clip_ratio/high_max,train/clip_ratio/region_mean,train/epoch
650,0.04230000078678131,0.08922626823186874,4.983270173397614e-06,563345.0,115.2750015258789,1.0,256.0,0.375,34.46428680419922,1.0,111.80000305175781,3.334209680557251,0.9109860062599182,3.334209680557251,0.4205000102519989,0.25,0.49337393045425415,0.0,0.0,0.0,0.0,0.0,0.12999999523162842
660,-0.1949000060558319,1.158290982246399,4.982655809726566e-06,570982.0,45.125,1.399999976158142,136.0,0.15000000596046448,7.25,1.399999976158142,35.400001525878906,3.8215606212615967,0.47827696800231934,3.8215606212615967,0.14254923164844513,0.6499999761581421,0.764003336429596,0.0,0.0,0.0,0.0,0.0,0.13199999928474426
670,0.07530000060796738,0.2374919354915619,4.982030077371746e-06,579089.0,83.625,1.2000000476837158,234.60000610351562,0.22499999403953552,32.70952606201172,1.2000000476837158,129.0,3.564223289489746,1.0751938819885254,3.564223289489746,0.6421679258346558,0.44999998807907104,0.8603470921516418,0.0,0.0,0.0,0.0,0.0,0.1340000033378601
680,0.1534000039100647,0.22071371972560883,4.981393885827856e-06,587860.0,72.7249984741211,1.0,206.0,0.22499999403953552,22.301666259765625,1.0,79.5999984741211,3.875882387161255,0.7494809031486511,3.875882387161255,0.3619837760925293,0.30000001192092896,0.6609684824943542,0.0,0.0,0.0,0.0,0.0,0.13600000739097595
690,0.21809999644756317,0.0845552533864975,4.980746325600194e-06,598110.0,78.4000015258789,1.0,223.8000030517578,0.2750000059604645,11.719047546386719,1.0,45.599998474121094,4.009597301483154,0.6553464531898499,4.009597301483154,0.44238048791885376,0.4000000059604645,0.5682811141014099,0.0,0.0,0.0,0.0,0.0,0.1379999965429306
700,0.20110000669956207,0.08904749900102615,4.98008785143611e-06,604833.0,47.775001525878906,1.0,205.0,0.15000000596046448,10.909523963928223,1.0,41.0,3.9225046634674072,0.5786995887756348,3.9225046634674072,0.24393969774246216,0.5,0.4663843512535095,0.0,0.0,0.0,0.0,0.0,0.14000000059604645
710,0.03739999979734421,0.06797286868095398,4.979418463335605e-06,609620.0,35.875,1.0,152.1999969482422,0.07500000298023224,17.696428298950195,1.0,67.5999984741211,3.9506471157073975,0.5462022423744202,3.9506471157073975,0.12124396115541458,0.6499999761581421,0.8926423788070679,0.0,0.0,0.0,0.0,0.0,0.1420000046491623
720,0.18889999389648438,0.09496832638978958,4.978738161298679e-06,615688.0,41.29999923706055,1.0,117.19999694824219,0.10000000149011612,22.00642967224121,1.0,59.20000076293945,3.761404275894165,0.5718414783477783,3.761404275894165,0.3136212229728699,0.550000011920929,0.7609595656394958,0.0,0.0,0.0,0.0,0.0,0.14399999380111694
730,0.34049999713897705,0.3512341380119324,4.978046490577981e-06,621352.0,48.5,1.0,209.0,0.10000000149011612,26.59404945373535,1.0,104.19999694824219,3.9250426292419434,0.5634960532188416,3.9250426292419434,0.25318554043769836,0.44999998807907104,0.7609909772872925,0.0,0.0,0.0,0.0,0.0,0.1459999978542328
740,-0.0949999988079071,0.11736337095499039,4.977343905920861e-06,630297.0,55.125,1.0,151.60000610351562,0.15000000596046448,19.983333587646484,1.0,92.5999984741211,3.9196128845214844,0.6158068776130676,3.9196128845214844,0.3142591416835785,0.44999998807907104,1.0745189189910889,0.0,0.0,0.0,0.0,0.0,0.14800000190734863
